,0,1
1176,2_pet_sitting_near,pet_sitting_near
357,2_pets_far,pets_far
356,2_pets_near,pets_near
477,2_petservices_far,petservices_far
476,2_petservices_near,petservices_near
1297,2_petstore_far,petstore_far
1296,2_petstore_near,petstore_near
1407,2_photographers_far,photographers_far
1406,2_photographers_near,photographers_near
1477,2_physicaltherapy_far,physicaltherapy_far
1476,2_physicaltherapy_near,physicaltherapy_near
247,2_physicians_far,physicians_far
246,2_physicians_near,physicians_near
187,2_pizza_far,pizza_far
186,2_pizza_near,pizza_near
1127,2_plumbing_far,plumbing_far
1126,2_plumbing_near,plumbing_near
237,2_professional_far,professional_far
236,2_professional_near,professional_near
1147,2_publicservicesgovt_far,publicservicesgovt_far
1146,2_publicservicesgovt_near,publicservicesgovt_near
697,2_pubs_far,pubs_far
696,2_pubs_near,pubs_near
257,2_realestate_far,realestate_far
256,2_realestate_near,realestate_near
1207,2_realestateagents_far,realestateagents_far
1206,2_realestateagents_near,realestateagents_near
1017,2_realestatesvcs_far,realestatesvcs_far
1016,2_realestatesvcs_near,realestatesvcs_near
7,2_restaurants_far,restaurants_far
6,2_restaurants_near,restaurants_near
567,2_salad_far,salad_far
566,2_salad_near,salad_near
147,2_sandwiches_far,sandwiches_far
146,2_sandwiches_near,sandwiches_near
557,2_seafood_far,seafood_far
556,2_seafood_near,seafood_near
1467,2_selfstorage_far,selfstorage_far
1466,2_selfstorage_near,selfstorage_near
1027,2_servicestations_far,servicestations_far
1026,2_servicestations_near,servicestations_near
1087,2_shoes_far,shoes_far
1086,2_shoes_near,shoes_near
17,2_shopping_far,shopping_far
16,2_shopping_near,shopping_near
407,2_skincare_far,skincare_far
406,2_skincare_near,skincare_near
547,2_spas_far,spas_far
546,2_spas_near,spas_near
1037,2_specialtyschools_far,specialtyschools_far
1036,2_specialtyschools_near,specialtyschools_near
687,2_sportgoods_far,sportgoods_far
686,2_sportgoods_near,sportgoods_near
657,2_sportsbars_far,sportsbars_far
656,2_sportsbars_near,sportsbars_near
957,2_steak_far,steak_far
956,2_steak_near,steak_near
627,2_sushi_far,sushi_far
626,2_sushi_near,sushi_near
1057,2_thai_far,thai_far
1056,2_thai_near,thai_near
1427,2_theater_far,theater_far
1426,2_theater_near,theater_near
617,2_tires_far,tires_far
616,2_tires_near,tires_near
177,2_tradamerican_far,tradamerican_far
176,2_tradamerican_near,tradamerican_near
1417,2_transport_far,transport_far
1416,2_transport_near,transport_near
1397,2_vegetarian_far,vegetarian_far
1396,2_vegetarian_near,vegetarian_near
647,2_venues_far,venues_far
646,2_venues_near,venues_near
1167,2_vet_far,vet_far
1166,2_vet_near,vet_near
1197,2_vietnamese_far,vietnamese_far
1196,2_vietnamese_near,vietnamese_near
587,2_waxing_far,waxing_far
586,2_waxing_near,waxing_near
1327,2_wine_bars_far,wine_bars_far
1326,2_wine_bars_near,wine_bars_near
467,2_womenscloth_far,womenscloth_far
466,2_womenscloth_near,womenscloth_near
1277,2_yoga_far,yoga_far
1276,2_yoga_near,yoga_near
679,3_accessories_far,accessories_far
678,3_accessories_near,accessories_near
119,3_active_far,active_far
118,3_active_near,active_near
579,3_apartments_far,apartments_far
578,3_apartments_near,apartments_near
229,3_arts_far,arts_far
228,3_arts_near,arts_near
909,3_artsandcrafts_far,artsandcrafts_far
908,3_artsandcrafts_near,artsandcrafts_near
829,3_asianfusion_far,asianfusion_far
828,3_asianfusion_near,asianfusion_near
1379,3_auto_detailing_far,auto_detailing_far
1378,3_auto_detailing_near,auto_detailing_near
79,3_auto_far,auto_far
78,3_auto_near,auto_near
759,3_autopartssupplies_far,autopartssupplies_far
758,3_autopartssupplies_near,autopartssupplies_near
209,3_autorepair_far,autorepair_far
208,3_autorepair_near,autorepair_near
379,3_bakeries_far,bakeries_far
378,3_bakeries_near,bakeries_near
1159,3_banks_far,banks_far
1158,3_banks_near,banks_near
739,3_barbers_far,barbers_far
738,3_barbers_near,barbers_near
99,3_bars_far,bars_far
98,3_bars_near,bars_near
879,3_bbq_far,bbq_far
878,3_bbq_near,bbq_near
39,3_beautysvc_far,beautysvc_far
38,3_beautysvc_near,beautysvc_near
779,3_beer_and_wine_far,beer_and_wine_far
778,3_beer_and_wine_near,beer_and_wine_near
1219,3_bodyshops_far,bodyshops_far
1218,3_bodyshops_near,bodyshops_near
279,3_breakfast_brunch_far,breakfast_brunch_far
278,3_breakfast_brunch_near,breakfast_brunch_near
269,3_burgers_far,burgers_far
268,3_burgers_near,burgers_near
419,3_cafes_far,cafes_far
418,3_cafes_near,cafes_near
749,3_car_dealers_far,car_dealers_far
748,3_car_dealers_near,car_dealers_near
1319,3_carwash_far,carwash_far
1318,3_carwash_near,carwash_near
609,3_catering_far,catering_far
608,3_catering_near,catering_near
539,3_chicken_wings_far,chicken_wings_far
