,,log_4brackets_2ndcities_bracket0,log_4brackets_2ndcities_bracket1,log_4brackets_2ndcities_bracket2,log_4brackets_2ndcities_bracket3,rf_8brackets_2ndcities,rf_4brackets_2ndcities,2ndcities_category_counts,1stcities_category_counts,rf_4brackets_1stcities,rf_8brackets_1stcities,log_4brackets_1stcities_bracket0,log_4brackets_1stcities_bracket1,log_4brackets_1stcities_bracket2,log_4brackets_1stcities_bracket3
0_juicebars_far,juicebars_far,-19.12,32.75,27.91,156.36,25.59,94.92,28124,670,12.84,52.7,-37.47,27.65,-128.25,62.42
4_diners_far,diners_far,0.47,0.84,-0.76,-8.9,0,0,88,266,0,0,-37.6,41.15,-5.34,-49.27
2_hotels_far,hotels_far,26,-56.13,-75.18,-282.53,382.61,196.87,42425,20446,129.71,244.81,-38.06,11.97,-80.52,28.74
3_eventplanning_near,eventplanning_near,1.93,-1.89,-3.5,-17.61,0,0,477,195,0,5.29,-38.81,40.04,24.3,-15.23
0_hotelstravel_near,hotelstravel_near,15.14,-2.96,-0.22,-77.48,209.5,225.59,657772,43824,232.28,139.76,-39.92,60.56,76.71,-54.2
0_spas_far,spas_far,-25.77,14.16,-18.72,328.78,106.15,7.03,7402,1529,76.63,68.1,-39.92,-97.66,-39.08,322.62
4_apartments_near,apartments_near,0,0.19,-6.69,49.25,11.31,0,153,31,0,0,-40.87,14.18,-0.01,0
4_hotels_near,hotels_near,-0.23,5.95,-11.74,53.41,0,0,1345,143,0,0,-41.05,5.52,15.18,0.87
1_deptstores_far,deptstores_far,0.31,-14.23,-5.71,166.14,14.15,41.25,4700,2122,114.15,109.87,-41.38,61.42,-133.81,25.01
0_juicebars_near,juicebars_near,11.83,7,-17.07,156.72,8.21,0,7573,186,29.61,8.67,-41.44,-3.28,29.83,-25.36
3_furniture_near,furniture_near,4.72,11.66,5.26,-22.79,3.23,61.67,6352,3480,28.06,9.2,-41.86,-51.57,-39.72,53.63
4_furniture_near,furniture_near,-3.89,-15.99,0.69,1.81,45.91,3.01,4971,186,0,2.65,-42.47,64.59,-64.75,-20.11
0_chinese_far,chinese_far,-16.9,11.46,13.64,-183.3,130.91,76.65,10126,2428,31.42,54.75,-43.15,65.72,-99.48,-25.14
0_furniture_near,furniture_near,-11.78,9.58,18.91,6.08,40.11,56.44,18305,1640,50.76,30.68,-43.25,-0.77,137.63,20.41
0_hotels_near,hotels_near,-0.51,-8.82,-20.28,116.21,25.8,101,3879,1072,71.38,63.95,-43.36,53.27,-95.66,-99.12
1_greek_far,greek_far,27.58,-6.89,-29.28,-71.32,69.26,135.71,13070,8029,69,159.03,-43.42,134.76,36.46,-72.81
2_cafes_far,cafes_far,-23.5,-9.06,23.3,132.24,324.85,158.56,50781,13100,156.61,129.88,-43.82,64.21,-276.71,-350.68
0_indpak_near,indpak_near,0.63,4.19,2.62,-106.74,5.79,0,1592,2665,17.11,26.23,-43.85,-6.01,58.97,-35.47
0_sushi_far,sushi_far,14.13,-10.93,18.65,-51.97,11.77,0,14778,705,59.7,2.14,-44.17,-24.43,-28.67,36.42
1_banks_near,banks_near,-2.31,4.05,-16.81,14.27,0,4.67,1390,36,0,0,-44.23,18.1,-0.17,-0.1
0_hvac_near,hvac_near,31.31,-21.31,37.16,-207.4,38.64,103.09,99834,14394,31.34,91.94,-44.29,1.42,30.49,79.11
2_icecream_near,icecream_near,2.23,9.95,2.13,104.21,37.74,54.35,12725,1778,27.91,14.2,-44.48,-25.8,47.82,-13.72
0_vet_near,vet_near,-7.2,10,13.8,-167.59,50.31,163.09,39246,3591,101.07,69.83,-44.8,-93.88,192.94,-21.76
1_jewelry_far,jewelry_far,11.96,-14.02,-46.25,151.29,17.71,208.58,22374,3351,3.44,36.59,-44.87,65.15,-19.51,35.79
1_venues_far,venues_far,3.52,1.89,-25.82,1.29,3.45,118.66,11007,1495,30.17,30.67,-44.89,189.39,-259.73,65.3
2_mideastern_near,mideastern_near,-6.85,9.81,15.3,1.21,28.03,1.03,2043,1315,146.14,30.89,-45.24,170.06,42.13,-95.35
2_restaurants_near,restaurants_near,-15.35,28.36,-18.86,-48.57,416.51,132.93,331496,106612,424.11,397.6,-45.37,1.96,-27.33,44.93
1_apartments_near,apartments_near,0,0,0,0,0,0,0,52,0,0,-45.52,15.07,0.16,-0.21
0_tradamerican_far,tradamerican_far,-0.79,-0.93,5.57,-40.87,62.23,131.11,29669,13331,98.67,118.69,-45.63,235.61,69.54,-117.99
2_realestatesvcs_near,realestatesvcs_near,0,0,0,0,0,0,0,23,0,0,-45.95,-1.55,60.65,-0.01
1_medicalspa_far,medicalspa_far,-5.32,3.83,-2.11,14.14,12.04,0,653,887,88.07,11.12,-46.31,-51.65,228.5,-0.57
0_vet_far,vet_far,14.33,3.48,-64.49,-61.82,148.52,73.94,119615,11060,96.24,90.42,-46.35,69.87,-32.92,-232.84
4_shoes_near,shoes_near,-0.83,29.84,24.64,-18.23,0,92.13,19306,165,7.66,23.68,-46.59,1.95,-17.44,5.67
0_diners_far,diners_far,2.6,5.32,-23.08,210.03,0,0,4876,280,8.09,26.33,-46.97,24.09,-53.37,-25.86
2_yoga_far,yoga_far,-2.8,7.19,1.41,8.4,10.69,10.84,1035,1852,48.65,184.07,-46.98,-48.97,-40.86,21.78
3_active_near,active_near,2.47,-3.87,-0.78,-36.85,2.53,1.15,1770,571,11.48,7.78,-47.2,-51.87,165.37,-54.92
1_pet_sitting_far,pet_sitting_far,0,0,0,0,0,0,0,20,0,0,-47.55,-14.7,73.02,-12.2
1_yoga_far,yoga_far,0,0,0,0,0,0,0,31,0,0,-47.94,-41.51,69.74,-5.38
3_fashion_far,fashion_far,-6.91,11.42,-13.91,-168.25,70.3,56.48,10981,30768,320.23,201.1,-47.98,-22.83,48.12,-5.4
0_bbq_far,bbq_far,41.47,-31.96,-67.92,-152.73,244.96,209.5,32828,6200,55.53,119.76,-48.13,-153.29,301.77,-0.35
1_menscloth_far,menscloth_far,1.83,-4.3,4.51,41.81,10.36,0,4040,3092,15.17,27.83,-48.13,-2.14,-120.36,45.24
0_lounges_far,lounges_far,2.52,0.34,6.17,-86.62,138.34,45.96,11693,1751,129.79,85.05,-48.74,17.6,83.05,66.69
2_financialservices_near,financialservices_near,0,0,0,0,0,0,0,23,0,0,-49.27,20.08,-0.01,0
1_petservices_near,petservices_near,0,0.14,0.12,-0.31,0,0,67,17,0,0,-49.37,14.53,45.71,-4.87
3_catering_near,catering_near,-0.23,-1.32,5.82,-4.42,0,0,957,117,35.34,0,-49.52,-30.62,8.06,50
1_cafes_far,cafes_far,-28.97,12.21,42.58,32.46,139.18,148.13,70457,14959,190.03,193.34,-49.73,92.18,-139.1,-284.25
2_sportgoods_far,sportgoods_far,-4.7,-0.25,7.44,-62.44,39.38,84.45,4018,12522,120.32,115.74,-49.79,-50.86,-30.44,103.41
1_fitness_near,fitness_near,0,0,0,0,0,0,0,150,0,5.78,-51.34,54.39,-62.27,-8.12
0_auto_detailing_near,auto_detailing_near,-18.6,5.89,23.17,-209.41,44.04,30.87,68650,14715,45.7,17.88,-51.91,-68.36,102.43,-15.55
3_auto_near,auto_near,2.05,-1.11,4.53,-0.03,0,0,148,162,10.05,5.61,-52.03,39.01,-63.22,-3.38
0_waxing_near,waxing_near,12.89,-22.57,-4.64,-10.91,64.27,17.88,14675,1327,12.91,22.06,-52.08,-124.6,5.04,19.33
3_flowers_near,flowers_near,-2.91,10.9,14.03,-122.29,7.31,0,1855,4191,28.7,4.83,-52.95,29.33,64.25,-9.83
1_pizza_near,pizza_near,-6.96,36.47,-85.33,229.21,131.8,86.51,33360,10416,226.46,248.14,-53.03,203.51,-0.95,-187.65
3_artsandcrafts_near,artsandcrafts_near,4.16,-1.19,-17.66,33.86,5.94,12.11,7757,2520,12.56,38.24,-53.09,60.94,80.87,-83.25
3_japanese_near,japanese_near,-7.82,7.22,-16.98,154.66,12.12,32.63,965,540,0,0,-53.87,54.53,-53.21,44.01
3_massage_far,massage_far,-20.82,10.41,69.63,-169.88,224.93,404.91,24002,2645,7.72,189.18,-54.5,44.56,37.47,52.37
0_realestate_near,realestate_near,-83.03,-51.62,-42.1,55.46,603.5,838.38,297634,33447,366.18,215.75,-55.01,-109.05,179.68,49.72
1_greek_near,greek_near,-4.76,8.21,41.44,-160.5,44.68,9.8,3884,2879,163.82,51.31,-55.48,51.24,199.21,-47.91
2_eventservices_near,eventservices_near,7.62,-18.12,-0.6,172.17,86.38,121.05,86936,20724,185.55,88.58,-56.52,-111.19,-91.01,86.03
1_homedecor_near,homedecor_near,-3.85,0.24,24.46,0.59,48.5,19.31,787,329,23.29,26.78,-56.81,34.33,47.81,-10.17
0_electronics_far,electronics_far,-34.88,5.78,38.62,36.21,67.01,94.67,17104,5558,22.63,19.83,-56.92,2.8,-169.69,-49.13
1_professional_far,professional_far,-0.9,4.27,-2.97,-50.51,7.99,3.15,1243,1403,142.1,62.4,-56.97,17.42,-119.19,-60.28
4_hotelstravel_near,hotelstravel_near,0,0,0,0,0,0,0,157,0,0,-57.61,4.77,15.15,17.58
0_gourmet_near,gourmet_near,6.47,0.43,-6.34,28.9,8.85,3.49,8753,4187,16.5,21.22,-57.75,102.89,14.38,-66.59
1_icecream_far,icecream_far,-13.92,12.86,10.03,88.64,196.13,69.99,52439,19478,297.66,268.49,-57.78,33.37,56.36,-127.14
3_financialservices_far,financialservices_far,0,0,0,0,0,0,0,149,0,0,-57.84,-36.24,-29.89,60.41
1_publicservicesgovt_far,publicservicesgovt_far,0,0,0,0,0,0,0,260,0,0,-58.76,1.95,-12.55,66.91
2_homeservices_near,homeservices_near,-6.76,23.51,-36.45,70.54,52.38,53.46,22555,3376,16.3,66.75,-58.83,42.92,131.19,27.13
4_arts_near,arts_near,6.91,-15.87,-16.79,80.8,105.26,8,10304,2446,4.5,0,-59.06,30.73,-119.15,-11.96
3_opticians_near,opticians_near,11.07,-26.01,-7.45,132.13,18.14,15.8,18008,835,10.9,15.96,-59.09,19.22,-84.7,81.57
2_realestatesvcs_far,realestatesvcs_far,0,0,0,0,0,0,0,713,0,2.99,-59.12,-48.23,144.16,5.92
0_convenience_far,convenience_far,7.23,26.67,-48.52,-5.14,144.54,290.43,32120,1919,30.91,36,-61.49,-37.05,49.14,-133.29
2_localservices_far,localservices_far,5.85,13.53,-40.81,40.85,242.45,380.01,203892,30448,201.4,192.14,-61.75,24.91,119.58,-57.17
0_mideastern_near,mideastern_near,-3.83,-0.04,5.12,-10.75,9.73,0,1145,3004,3.66,4.3,-61.97,-29.46,62.66,-1.3
3_gyms_far,gyms_far,-0.46,0.09,3.15,27.51,2.82,13.34,1744,428,11.6,3.99,-62.42,7.05,-15.18,44.39
4_itservices_far,itservices_far,0.11,0.47,-2.81,1.92,2.46,0,232,659,11.36,0.12,-62.45,-12.29,124.21,16.19
2_laundryservices_near,laundryservices_near,-1.75,8.53,24.75,224.19,65.89,63.36,15619,2708,61.2,42.88,-62.91,-68.78,27.36,73.45
1_spas_near,spas_near,1.74,-9.86,-17.74,77.97,0,0,3836,842,5.75,8.83,-63.54,37.05,-72.59,74.74
0_womenscloth_far,womenscloth_far,-9.44,13.29,-25.85,3.74,136.97,145.43,164866,7937,128.73,41.48,-64.98,-68.48,78.44,144.65
3_servicestations_near,servicestations_near,-2.84,4.74,10.06,-50.29,4.88,7.44,680,108,0,10.04,-65.68,33.6,-55.67,-2.24
0_pets_near,pets_near,-36.49,-7.1,14.85,-108.51,251.36,163.32,311948,19600,100.29,182.34,-65.92,36.09,10.69,-16.91
4_menscloth_far,menscloth_far,-7.18,-13.3,76.19,-3.1,182.51,25.2,146408,1195,34.17,54.51,-65.92,26.44,-54.6,101.16
1_sandwiches_far,sandwiches_far,-28.77,31.31,-17.49,152.79,318.18,369.09,292162,67042,290.31,349.24,-66.08,7.18,-56.86,111.82
1_cosmetics_far,cosmetics_far,0.02,-6.2,-23.66,-23.62,71.62,45.94,6721,5188,50.63,161.9,-66.27,-71.53,42.36,16.67
3_hairstylists_near,hairstylists_near,2.48,-9.19,-14.99,82.14,2.76,42.08,14441,487,18.4,14.49,-66.47,-37.79,213.13,-23.23
4_tradamerican_far,tradamerican_far,2.22,-0.57,2.32,-58.44,0,0,1520,562,2.99,23.78,-66.82,110.23,8.92,-0.55
3_diners_far,diners_far,0,0,0,0,0,0,0,767,20.02,13.2,-66.99,3.83,-97.47,-55.6
1_realestate_far,realestate_far,0,0,0,0,0,0,0,432,39.08,18.11,-67.58,-11.82,-3.86,-24.28
0_florists_far,florists_far,42.08,11.02,-33.28,-22.7,220.07,120.61,201469,5983,43.23,30.06,-69.22,13.09,68.35,-19.1
0_hotelstravel_far,hotelstravel_far,28.03,-1.32,-43.46,-18.31,371.16,330.33,2008096,143027,252.6,360.36,-69.35,45.95,-63.75,-89.98
1_waxing_far,waxing_far,4.16,7.93,12.45,-160.29,108.19,26.38,16859,3373,57.64,15.31,-70.26,51.63,-108.54,-24.53
0_servicestations_far,servicestations_far,45.86,-57.79,-84,-331.29,203.82,207.11,20441,6522,130.35,120.42,-70.78,130.2,56.95,-31.52
1_beautysvc_near,beautysvc_near,-7.19,-4.61,-29.05,-144.23,120.77,154.03,57042,12341,156.78,113.6,-71.46,65.03,24.02,-179.18
4_womenscloth_far,womenscloth_far,-4.38,5.67,25.25,133.48,8.6,15.27,133885,4919,9.41,2.6,-71.51,-34.51,135,6.56
0_pizza_far,pizza_far,13.73,28.25,-96.97,-143.11,209.23,231.99,51100,14902,72.05,144.05,-72.13,22.37,-81.99,-71.51
1_cocktailbars_near,cocktailbars_near,-0.11,-2.05,-1.43,-1.64,10.2,0,1742,835,7.24,12.89,-73.06,52.29,-41.17,-49.1
1_grocery_near,grocery_near,-19.67,1.53,-5.96,54,128.6,82.27,13009,3846,89.6,104.92,-73.64,189.24,-437.91,-223.23
3_convenience_near,convenience_near,0.6,12.82,23.75,-198.64,60.64,0,2382,176,0,9.14,-74.07,49.23,-81.74,8.66
4_menscloth_near,menscloth_near,-5.48,32.23,14.55,-2.1,8.42,2.62,36847,202,10.16,0,-74.75,-59.08,29.95,50.04
0_tires_near,tires_near,5.54,-12.43,-44.18,-129.02,46.59,95.44,24718,4083,115.16,94.42,-75.51,54.11,159.71,-157.4
1_mediterranean_near,mediterranean_near,7.94,-6.82,70.5,13.41,43.1,24.02,13233,3340,1.66,21.45,-76.51,81.84,86.77,1.47
0_yoga_far,yoga_far,19.46,-0.71,-10.28,9.87,527.28,331.09,238576,26810,77.55,346.75,-77.27,-40.05,-390.66,248.86
0_homecleaning_near,homecleaning_near,25.03,-61.33,-46.18,4.31,206.97,335.77,232451,22309,41.83,47.99,-78.89,14.85,66.92,14.64
2_breakfast_brunch_near,breakfast_brunch_near,-25.09,1.62,4.03,201.9,123.47,120.89,36896,8281,138.97,125.67,-78.92,-114.68,247.87,81.7
2_hair_far,hair_far,-8.28,12.33,-27.19,103.25,329.75,316.09,226182,66784,433.37,221.06,-79.15,-14.72,242.01,24.34
2_transport_near,transport_near,0,0,0,0,0,0,0,20,0,0,-79.52,16.75,-0.02,14.55
1_mobilephones_near,mobilephones_near,-9.11,-1.35,43.8,-101.44,31.17,5.99,1189,586,8.5,2.15,-79.62,35.73,-35.96,-9.95
4_active_far,active_far,0.27,8.21,24.43,29.16,0,0,2414,229,14.22,7.9,-79.77,5.07,-11.66,-3.74
3_hotelstravel_near,hotelstravel_near,8.04,2.65,-8.1,-19.47,97.35,0,1049,1048,6.74,14.33,-79.83,-10.37,-75.07,189.61
3_professional_near,professional_near,-0.43,0.17,-1.66,37.82,0,0,219,125,13.87,22.14,-80.71,-12.05,45.7,62.48
1_chicken_wings_far,chicken_wings_far,19.2,-25.63,-93.25,-30.12,183.24,160.79,9834,9870,159.68,265.05,-80.81,115.4,-127.84,-315.89
3_health_near,health_near,-2.75,-4.5,-9.54,49.66,35.7,75.72,30660,1760,5.72,66.66,-80.85,8.64,16.18,46.64
3_sandwiches_far,sandwiches_far,0.07,0.43,-0.78,9.59,0,17.86,292,248,6.36,6.43,-81.26,-0.17,61.72,9.87
1_shopping_far,shopping_far,48.55,-34.27,-13.24,-88.13,313.15,304.02,203627,52199,665.03,400.18,-81.34,87.29,90.65,-166.72
4_sushi_near,sushi_near,-1.44,2.07,-3,-16.82,0,0,413,206,0,4.28,-81.76,-25.6,47.53,-29.25
0_drugstores_near,drugstores_near,7.51,-14.04,-17.96,16.87,36.27,26.62,2691,320,13.87,3.94,-82.17,27.1,-34.13,-23.78
4_asianfusion_far,asianfusion_far,1.76,-1.11,0.59,-4.03,2.75,0,286,958,0.84,31.26,-82.73,9.1,71.93,-15.97
3_desserts_near,desserts_near,-3.29,15.85,-7.91,149.06,19.79,3.27,4065,419,30.09,80.39,-82.77,-21.14,-52.71,34.78
2_fashion_far,fashion_far,4.74,6.17,-11.07,-170.04,10.21,23.14,35152,61132,193.93,293.55,-84.85,50.25,9.64,-51.09
1_opticians_far,opticians_far,-13.72,8.73,12.92,-26.61,67.3,66.24,1576,217,15.87,14.78,-84.93,-10.96,102.55,60.04
0_bodyshops_far,bodyshops_far,81.31,-70.53,-31.39,-482.22,329.6,483.73,95423,19213,197.79,188.38,-85.14,-70.74,53.51,100.71
3_gourmet_far,gourmet_far,5.02,-10.05,3.42,-9.7,47.71,5.1,1364,3428,69.94,86.46,-85.55,-55.36,-162.93,202.75
0_contractors_near,contractors_near,-47.27,-30.89,8.06,86.36,190.04,936.94,305152,23899,94.07,126.85,-88.02,30.98,8.26,54.14
1_bars_near,bars_near,0.08,2.78,-39.73,-141.77,29.88,36.05,10216,14707,138.85,216.63,-88.38,-88.07,94.92,-74.08
3_steak_near,steak_near,7.47,-9.02,-0.51,42.91,0,33.59,4773,4187,32.96,30.44,-88.84,-46.31,257.52,-68.55
4_newamerican_far,newamerican_far,-1.71,-2.98,-23.97,20.84,20.76,24.86,2557,2181,46.5,66.59,-90.03,114.51,-225.85,-169.3
0_physicians_far,physicians_far,-20,3.27,-1.56,-9.81,284.03,295.21,785325,73548,297.42,345.36,-90.73,74.46,5.87,30.14
0_active_far,active_far,-62.39,1.85,38.42,36.02,352.56,1026.8,1372051,136470,603.83,564.61,-90.85,-26.81,163.54,141.1
1_physicians_far,physicians_far,0,0,0,0,0,0,0,675,0,2.85,-91.61,70.27,22.73,-86.99
2_hairremoval_far,hairremoval_far,-34.44,23.89,17.22,34.58,78.33,1470.24,37454,34052,219.4,276.23,-91.74,45.45,50.34,82.51
0_bakeries_near,bakeries_near,-9.75,-19.41,64.88,91.06,56.44,54.71,24203,1429,21.95,17.46,-91.86,140.58,-148.12,-111.4
3_yoga_near,yoga_near,0.08,-3.68,-3.17,-13.83,0,5.14,1069,238,183.68,36.45,-91.87,-32.97,214.5,-78.25
0_realestateagents_far,realestateagents_far,-19.42,19.01,-3.01,2.18,224.06,228.69,909221,24505,174.31,126.91,-92.38,-71.37,-17.74,-4.54
1_barbers_far,barbers_far,37.69,-40.98,-33.8,-17.13,214.65,80.81,35972,7027,62.12,160.35,-92.51,120.77,-4.75,-188.91
3_spas_near,spas_near,-12.48,3.76,-7.72,18.83,12.26,178.65,9690,1193,2.01,17.71,-92.54,-87.92,22.78,33.93
4_accessories_far,accessories_far,-12.24,3.67,39.68,-43.8,27.58,100.02,77612,2799,0,41.35,-92.76,135.57,-128.17,101.69
3_fitness_near,fitness_near,0,0,0,0,0,0,0,295,84.57,0,-93.25,-37.28,214.48,-78.29
0_gyms_near,gyms_near,7.4,-17.99,-54.35,87.69,146.23,141.08,44584,5551,66.91,96.44,-93.47,147.89,154.12,-280.2
2_flowers_far,flowers_far,5.85,-29.95,38.96,61.19,22.01,5.23,19450,22345,193.2,198.57,-93.55,-67.11,74.13,37.75
3_active_far,active_far,1.71,5.77,10.6,-51.86,38.87,29.45,4901,1723,15.84,15.47,-93.92,28.43,-29.15,81.65
3_electronics_near,electronics_near,3.5,2.29,-0.8,37.04,17.77,3.4,8292,351,2.94,1.99,-94.39,41.13,-7.4,-5.39
0_sandwiches_near,sandwiches_near,29.64,-2.67,21.71,-80.97,46.59,34.77,24733,3813,41.72,28.4,-94.69,96.7,-123.59,-4.52
3_mexican_near,mexican_near,2.06,-2.94,-0.87,-1.3,0,0.7,246,69,0,0,-94.78,34.87,-0.04,0
1_fitness_far,fitness_far,0,0,0,0,0,0,0,319,0.14,10.91,-94.89,-15.33,57.66,-7.64
1_breakfast_brunch_near,breakfast_brunch_near,7.87,21.62,-59.81,-37.93,154.12,74.72,43663,9185,59.98,127.44,-95.54,-85.33,376.52,-192.79
1_theater_near,theater_near,-2.9,2.15,11.53,-88.23,12.77,6.23,864,2134,1.64,16.62,-96.28,7.47,28.96,-26.25
4_restaurants_near,restaurants_near,5.53,-5.94,-18.93,46.03,18.48,29.74,3928,7633,27.07,28.8,-96.31,-71.04,223.24,-26.31
3_financialservices_near,financialservices_near,0,0,0,0,0,0,0,77,6.51,0,-96.69,-15.19,-26.36,53.49
3_shoes_near,shoes_near,-7.77,1.9,-10.16,-56.31,0,6.2,26774,2447,165.91,137.01,-97.69,-104.86,325.62,-8.98
0_asianfusion_far,asianfusion_far,-6.38,8.14,22.96,62.42,68.1,104.81,22290,233,105.59,8.43,-97.72,63.35,-9.57,-4.1
3_fitness_far,fitness_far,0,0,0,0,0,0,0,824,20.07,14.92,-99.34,-5.92,-52.94,119.69
1_womenscloth_far,womenscloth_far,-15.18,14.99,36.9,-16.55,101.48,37.25,10137,6592,33.88,43.18,-99.47,-8.36,-65.18,-38
3_auto_far,auto_far,0.68,2.64,-3.45,-1.99,23.31,2.95,271,431,9.48,11.49,-99.76,52.26,35.22,-11.81
1_cosmetics_near,cosmetics_near,10.63,-14.97,-13.99,-24.99,25.82,26.7,2648,1726,8.57,28.91,-100.55,2.45,1.95,-3.73
1_carwash_far,carwash_far,0,0,0,0,0,0,0,74,0,7.39,-100.63,55.24,2.02,11.48
1_pets_far,pets_far,0,0,0,0,0,0,0,741,107.41,66.64,-100.77,5.81,-22.49,-55.6
3_drugstores_far,drugstores_far,8.75,-8.26,-43.25,-16.38,12.58,0,2075,330,99.05,52.08,-100.8,63.68,-35.39,32.96
2_pizza_near,pizza_near,-64.65,51.68,0.25,-19.28,117.11,150.71,27850,10344,93.81,111.33,-101.14,134.47,-35.11,-293.64
3_education_near,education_near,2.51,-3.76,-10.74,34.32,65.15,9.3,480,116,0,0,-101.25,37.61,9.44,-26.72
0_autorepair_near,autorepair_near,10.03,12.09,-71.43,-254.81,198.67,188.35,55162,19878,135.28,201.98,-102.97,70.73,70.42,25.82
0_wine_bars_near,wine_bars_near,-0.83,-10.02,17.16,-0.71,4.33,2.07,4898,1081,15.42,0,-103.39,47.55,-40.6,75.91
0_vietnamese_far,vietnamese_far,-16.03,5.45,44.01,212.7,0,15.45,2168,620,22.87,58.63,-104.14,-31.42,207.57,-61.37
0_nightlife_far,nightlife_far,10.4,-24.52,24.79,-204.45,99.29,125.96,174992,39665,236.44,184.02,-104.29,-12.06,30.49,50.17
0_eventservices_far,eventservices_far,1.53,5.37,9.21,61.71,860.06,552.66,5624662,289087,395.17,358.81,-105.5,66.48,-92.24,-34.91
1_itservices_far,itservices_far,-0.91,6.94,2.66,58.28,0,6.12,1270,1463,22.2,22.08,-105.7,-6.73,-108.42,5.42
0_medcenters_far,medcenters_far,-22.54,7.5,-12.45,-3.13,262.24,143.73,293719,18012,382.53,819.57,-106.79,14.92,-33.45,62.71
3_shoes_far,shoes_far,11.37,-21.02,-3.43,133.88,27.87,68.42,101446,8766,396.57,138.8,-107.27,-112.2,117.83,154.48
1_pubs_far,pubs_far,-1.27,10.19,-3.76,22.44,50.57,43.05,9357,5365,335.37,183.67,-108.05,23.12,424.75,-128.45
2_pizza_far,pizza_far,-27.5,18.54,4,34.99,302.61,249.88,73558,34785,312.14,309.43,-108.37,39.97,-7.02,21.53
4_laundryservices_near,laundryservices_near,-0.9,-12.64,5.36,22.57,6.85,2.92,2713,288,14.92,2.14,-109.31,12.69,-43.48,54.1
0_hair_near,hair_near,-3.84,29.04,-35.08,-259.41,73.02,61.49,55363,5160,16.92,45.16,-110.81,114.98,53.26,-147.17
2_car_dealers_near,car_dealers_near,0,0,0,0,0,0,0,111,0,0,-111.84,-0.9,61.83,-12.98
4_salad_far,salad_far,0.85,3.01,20.69,-52.01,0,0,570,961,0,0,-112.11,62.69,-54.16,-15.08
1_othersalons_far,othersalons_far,36.76,-12.19,-39.04,67.88,228.84,83.48,32393,6736,84.81,290.77,-112.36,54.32,-213.25,137.12
1_hairstylists_near,hairstylists_near,4.56,-11.88,4.93,-55.3,49.26,4.99,2514,1286,18.32,2.65,-112.42,16.81,2.39,-15.47
1_venues_near,venues_near,-2.86,-1.74,-29.59,179.42,0,33.4,3308,516,13.21,10.94,-113.22,-35.35,-77.01,144.61
0_chiropractors_far,chiropractors_far,16.88,9.7,23.58,29.83,321.96,425.63,188675,10937,178.33,99.5,-113.52,98.2,-49.22,19.56
1_drugstores_near,drugstores_near,15.76,-10.09,-6.89,-156.22,16.14,157.16,4951,1177,26.95,31.3,-113.83,-91.77,-51.23,215
0_lawyers_near,lawyers_near,14.49,0.8,29.2,-148.17,113.67,128.04,103401,6652,131.4,60.47,-114.62,133.09,-156.36,-20.51
1_vietnamese_far,vietnamese_far,-47.42,30.08,60.38,-220.03,247.5,233.01,28437,8266,153.17,166.08,-114.73,2.34,197.58,-49.59
2_beautysvc_near,beautysvc_near,-2.19,-8.99,56.84,-15.34,286.5,111.36,454008,57018,134.96,151.68,-115.04,10.44,-145.02,-63.72
3_breakfast_brunch_far,breakfast_brunch_far,-7.2,8.17,0.94,35.83,26.05,8.88,12244,1092,42.56,19.34,-115.47,123.61,-130.84,-102.53
1_eventplanning_near,eventplanning_near,1.06,-0.82,6.45,-23.32,0,0,386,1812,2.77,9,-117.01,133.5,-98.66,-23.27
4_pubs_far,pubs_far,0,0,0,0,0,0,0,56,0,10.82,-117.32,34.08,-10.86,-1.66
2_tradamerican_far,tradamerican_far,-31.69,-2.37,56.08,-82.19,257.74,545.79,126138,41924,320.58,601.18,-117.93,-7.87,35.9,14.12
1_vegetarian_near,vegetarian_near,1.93,-2.57,10.15,-46.76,22.35,0,1903,1654,76.38,46.28,-119.15,192.72,135.98,2.69
1_furniture_near,furniture_near,3.54,8.68,3.3,12.29,8.97,8.14,847,454,10.64,0,-120.3,-13.48,-54.29,-22.07
1_coffee_far,coffee_far,12.12,-11.35,-0.67,69.84,270.9,256.68,278966,48624,196.57,254.17,-120.48,-73.51,168.91,18.56
1_eventplanning_far,eventplanning_far,-3.07,-2.07,-16.77,96.94,0,0,911,5225,35.19,6.01,-121.1,125.29,102.37,6.34
1_asianfusion_far,asianfusion_far,10.32,0.35,-62.77,249.38,50.98,22.29,17609,6521,37.72,217.73,-121.3,42.16,-36.57,0.78
0_menscloth_far,menscloth_far,-3.41,4.49,-44.18,27.21,134.35,162.57,89734,6785,78.13,25.57,-121.38,31.05,75.36,110.28
0_massage_therapy_near,massage_therapy_near,-20.18,-64.13,3.19,89.67,645.54,394.34,153533,5104,37.52,65.84,-121.4,-0.6,121.52,103.14
1_spas_far,spas_far,-6.63,27.36,-14.76,-55.11,0.72,34.1,7603,2949,68.05,27.95,-121.77,22.25,9.32,-39.12
4_hair_far,hair_far,11.41,6.87,-36.77,147.69,5.43,17.12,8054,1922,332.21,16.41,-121.9,-16.86,-34.19,67.32
0_optometrists_near,optometrists_near,18.27,-3.47,-32.03,10.3,46.44,109.49,76462,2349,180.37,23.81,-122.02,-27.67,51.5,4.76
4_hairremoval_far,hairremoval_far,0.41,-2.23,-31.14,-3.48,15.31,26.51,1680,190,0,13.13,-122.04,47.31,-1.57,-0.46
